user_id,payment_date,amount,subscription_type,is_renewal
13212,2024-02-20,19.99,premium,False
45017,2024-04-10,14.99,premium,False
12649,2024-09-18,14.99,premium,False
8430,2024-02-10,4.99,basic,False
9441,2024-02-20,9.99,premium,False
13505,2024-02-05,4.99,basic,False
38246,2024-10-05,14.99,premium,False
22112,2024-11-30,4.99,basic,False
38304,2024-06-05,19.99,premium,False
35606,2024-04-16,19.99,,False
6534,2024-01-13,14.99,premium,False
18242,2024-05-01,14.99,premium,False
16067,2024-01-23,9.99,basic,False
25641,2024-01-28,9.99,basic,False
43722,2024-01-22,7.99,basic,False
24411,2024-09-29,7.99,basic,False
36158,2024-07-01,14.99,premium,False
29271,2024-06-22,4.99,basic,False
3499,2024-02-29,7.99,basic,False
45113,2024-02-10,19.99,premium,False
16544,2024-07-13,19.99,premium,False
25376,2024-12-18,7.99,basic,False
14434,2024-11-01,9.99,basic,False
42241,2024-05-04,14.99,basic ,False
39825,2024-01-08,7.99,basic,False
17834,2024-06-26,7.99,basic,False
26787,2024-04-27,7.99,basic,False
32972,2024-07-05,14.99,premium,False
48634,2024-06-25,14.99,premium,False
32649,2024-09-04,9.99,basic,False
15941,2024-05-30,9.99,basic,False
31853,2024-03-05,14.99,premium,False
13168,2024-02-25,19.99,premium,False
36947,2024-05-16,19.99,premium,False
46721,2024-04-24,14.99,Premium,False
16374,2024-05-24,9.99,basic,False
44623,2024-06-22,9.99,basic,False
36238,2024-02-11,7.99,basic,False
27765,2024-10-07,9.99,basic,
39855,2024-03-02,7.99,basic,False
35864,2024-10-07,14.99,premium,False
21582,2024-08-16,14.99,premium,False
42378,2024-02-21,7.99,basic,False
51527,2024-08-14,14.99,premium,False
43822,2024-05-09,7.99,basic,False
156,2024-03-20,abc,basic,False
9831,2024-05-18,abc,premium,False
33341,2024-03-10,9.99,basic,False
9952,2024-09-05,7.99,basic,
46266,2024-08-07,14.99,premium,False
19240,2024-11-26,14.99,premium,False
40268,2024-10-26,14.99,premium,False
10834,2024-03-25,7.99,basic,False
13549,2024-10-30,9.99,basic,False
44797,2024-01-17,19.99,premium,False
28903,2024-05-18,14.99,premium,False
13558,2024-09-29,14.99,premium,False
32392,2024-06-04,9.99,premium,False
39607,2024-05-23,7.99,basic,False
11482,2024-05-13,4.99,basic,False
11167,2024-01-19,19.99,premium,False
16391,2024-03-24,9.99,premium,False
51339,2024-02-13,9.99,basic,False
